CID	CAS	CanonicalSmiles	xlogp	tpsa
70754	1124-04-5	CC1=CC(=C(C=C1C)Cl)O	20.2	2.9
2803	4205-90-7	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl	36.4	1.6
656665	89565-68-4	CN1C2CCC1CC(C2)OC(=O)C3=CNC4=CC=CC=C43	45.3	3.8
85299	16131-53-6	C1COCCN1SSSSN2CCOCC2	126.0	1.5
7599	102-17-0	COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2	35.5	3.0
24685	122-42-9	CC(C)OC(=O)NC1=CC=CC=C1	38.3	2.6
93379	68157-60-8	C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl	54.0	2.4
7037	91-01-0	C1=CC=C(C=C1)C(C2=CC=CC=C2)O	20.2	2.7
7304	96-54-8	CN1C=CC=C1	4.9	1.2
20548	4468-93-3	CCC(CC)COCCO	29.5	1.4
69194	614-68-6	CC1=CC=CC=C1N=C=O	29.4	3.1
7227	95-26-1	CC1=CC2=C(C=C1)SC(=N2)C	41.1	3.1
53051	74548-80-4	CC(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2	61.8	5.0
7180	94-18-8	C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)O	46.5	3.6
4740	6493-05-6	CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C	75.5	0.3
43704	10552-74-6	CC(C)OC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)OC(C)C	98.4	3.1
12729	692-86-4	CCOC(=O)CCCCCCCCC=C	26.3	4.6
7642	103-24-2	CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC	52.6	8.5
3076151	130365-35-4	CCCCCCCCCCCCCCCNP1(=S)OCC2=C(O1)C=CC(=C2)[N+](=O)[O-]	108.0	9.4
1486	2702-72-9	C1=CC(=C(C=C1Cl)Cl)OCC(=O)O	46.5	2.8
3061885	79985-92-5	CC(C)(C)SP(=O)(OC)OC	60.8	0.9
4855	19562-30-2	CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCCC3)C(=O)O	86.6	1.3
81152	6642-31-5	CN1C(=CC(=O)N(C1=O)C)N	66.6	-1.1
5492898	795-38-0	CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O	41.9	2.2
60968	76-50-6	CC(C)CC(=O)OC1CC2CCC1(C2(C)C)C	26.3	4.6
84868	15308-01-7	C1=CC=C(C=C1)N(C2=C(C=CC=C2Cl)Cl)C(=O)CCl	20.3	4.7
214551	33446-90-1	CCCCCCC(C)P(=O)(C(C)CCCCCC)C(C)CCCCCC	17.1	9.3
88892	21413-28-5	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2S(=O)(=O)C3=CC=CC=C3)C4=CC=CC=C4	91.9	3.4
33026	25505-99-1	C1=CC=C(C=C1)C2=NN(C(=O)C3=NOC=C23)C4=CC=CC=C4	58.7	3.2
6918454	212631-79-3	C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl	50.4	5.6
6342	75-05-8	CC#N	23.8	0.0
3048039	63873-23-4	CCOP(=S)(OCC)OC(C)C	59.8	2.8
1752	104-40-5	CCCCCCCCCC1=CC=C(C=C1)O	20.2	5.9
32739	24934-91-6	CCOP(=S)(OCC)SCCl	75.9	3.1
110970	7346-61-4	CCCCCCCCOP(OCC(CC)CCCC)OC1=CC=CC=C1	27.7	8.4
20936	4802-20-4	CC1CCC(CC1S)C(C)CS	2.0	3.7
21567	5432-28-0	CN(C1CCCCC1)N=O	32.7	2.0
3079290	125055-68-7	CCCNC(=O)C1=CN=C2C=CC=CN2C1=O	61.8	0.8
2796	637-07-0	CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl	35.5	3.3
211419	23093-93-8	C1=CC(=CC=C1NC(=O)CCC(=O)O)NS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-]	167.0	1.4
2075	3011-89-0	C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)N	88.9	1.4
5384145	73-09-6	CCOC(=O)C=C1N(C(=O)C(S1)N2CCCCC2)C	75.2	1.6
708857	15686-83-6	CN1CCCN=C1C=CC2=CC=CS2	43.8	1.6
5753	50-22-6	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O	74.6	1.9
6956	88-96-0	C1=CC=C(C(=C1)C(=O)N)C(=O)N	86.2	-1.7
